col0,col1,col2,col3,col4,col5
Albert,Latin script,Alberts,Al,"frequency of first names in the Netherlands, 2010",August 30
Benjamin,Latin script,Beniamin,Ben,"frequency of first names in the Netherlands, 2010",August 30
Albert,Latin script,Adalbero,Al,"frequency of first names in the Netherlands, 2010",August 30
Benjamin,Latin script,Benjamín,Ben,"frequency of first names in the Netherlands, 2010",August 30
Albert,Latin script,Albrecht,Al,"frequency of first names in the Netherlands, 2010",August 30
Benjamin,Latin script,Beniamino,Ben,"frequency of first names in the Netherlands, 2010",August 30
Albert,Latin script,Vojtěch,Al,"frequency of first names in the Netherlands, 2010",August 30
Benjamin,Latin script,Bünyamin,Ben,"frequency of first names in the Netherlands, 2010",August 30
Albert,Latin script,Wojciech,Al,"frequency of first names in the Netherlands, 2010",August 30
Benjamin,Latin script,Benjaminas,Ben,"frequency of first names in the Netherlands, 2010",August 30
Albert,Latin script,Alberts,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
Benjamin,Latin script,Beniamin,Ben,most frequent first names at birth in Rotterdam (1811-1913),August 30
Albert,Latin script,Adalbero,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
