col0,col1,col2,col3,col4
Lower Quartz Lake Campground,North America,Flathead County,Lower Quartz Lake Campground,Lower Quartz Lake
Logging Lake Foot Campground,North America,Flathead County,Logging Lake Foot Campground,Logging Lake
Lincoln Lake Campground,North America,Flathead County,Lincoln Lake Campground,Lincoln Lake
Lake Janet Campground,North America,Glacier County,Lake Janet Campground,Lake Janet
Lake Isabel Campground,North America,Flathead County,Lake Isabel Campground,Lake Isabel
Kootenai Lake Campground,North America,Glacier County,Kootenai Lake Campground,Kootenai Lakes
Helen Lake Campground,North America,Glacier County,Helen Lake Campground,Helen Lake
Harrison  Lake   Campground,North America,Flathead County,Harrison  Lake   Campground,Harrison Lake
Gunsight Lake Campground,North America,Glacier County,Gunsight Lake Campground,Gunsight Lake
Grace Lake Campground,North America,Flathead County,Grace Lake Campground,Grace Lake
