col0,col1,col2,col3
Rua 15 de Novembro I,GLAM Museu Paulista,Rua 15 de Novembro (São Paulo),Guilherme Gaensly
Rua 15 de Novembro II,GLAM Museu Paulista,Rua 15 de Novembro (São Paulo),Guilherme Gaensly
São Paulo. Largo do Thesouro,GLAM Museu Paulista,Centro Histórico de São Paulo,Guilherme Gaensly
São Paulo - Jardim da Luz III,GLAM Museu Paulista,Jardim da Luz,Guilherme Gaensly
São Paulo. Jardim da Luz I,GLAM Museu Paulista,Jardim da Luz,Guilherme Gaensly
São Paulo - Jardim da Luz III,GLAM Museu Paulista,Jardim da Luz,Guilherme Gaensly
S. Paulo - Estacao da Luz S.P.R. III,GLAM Museu Paulista,Luz Station,Guilherme Gaensly
Estação da Luz S.P.R. I,GLAM Museu Paulista,Luz Station,Guilherme Gaensly
"São Paulo, Estação da Luz",GLAM Museu Paulista,Luz Station,Guilherme Gaensly
São Paulo - Estação da Luz S.P.R. II,GLAM Museu Paulista,Luz Station,Guilherme Gaensly
São Paulo - Academia de Direito,GLAM Museu Paulista,"Law School, University of São Paulo",Guilherme Gaensly
"Brasil - estado de São Paulo Fazenda Araraquara, Colheita do Café",GLAM Museu Paulista,Coffee production in Brazil,Guilherme Gaensly
Um pé de Café de 100 Annos. Campinas,GLAM Museu Paulista,Coffee production in Brazil,Guilherme Gaensly
São Paulo - Terreiro e embarque de Café,GLAM Museu Paulista,Coffee production in Brazil,Guilherme Gaensly
São Paulo - Colheita de Café,GLAM Museu Paulista,Coffee production in Brazil,Guilherme Gaensly
