col0,col1,col2,col3
Domažlice,Zdeněk Novák,Bezděkovské Předměstí,UTC+02:00
Třinec,Věra Palkovská,Kojkovice,UTC+02:00
Nové Město na Moravě,Michal Šmarda,Hlinné,UTC+02:00
Třinec,Věra Palkovská,Tyra,UTC+02:00
Domažlice,Zdeněk Novák,Týnské Předměstí,UTC+01:00
Nové Město na Moravě,Michal Šmarda,Maršovice,UTC+01:00
Holešov,Pavel Svoboda,Količín,UTC+01:00
Nové Město na Moravě,Michal Šmarda,Jiříkovice,UTC+01:00
Domažlice,Zdeněk Novák,Havlovice,UTC+01:00
Holešov,Pavel Svoboda,Dobrotice,UTC+01:00
Třinec,Věra Palkovská,Kanada,UTC+01:00
Domažlice,Zdeněk Novák,Bezděkovské Předměstí,UTC+01:00
