col0,col1,col2,col3
Intercity Viaduct,1962-01-01,Kansas Department of Transportation,truss bridge
Hastings High Bridge,1951-01-01,Minnesota Department of Transportation,truss bridge
Harahan Bridge,1916-07-14,Union Pacific Railroad,truss bridge
Governor Harry W. Nice Memorial Bridge,1940-12-01,Maryland Transportation Authority,truss bridge
George C. Platt Bridge,1951-01-01,Pennsylvania Department of Transportation,truss bridge
Frisco Bridge,1892-05-12,BNSF Railway,truss bridge
Fort Madison Toll Bridge,1927-07-26,BNSF Railway,truss bridge
FEC Strauss Trunnion Bascule Bridge,1925-01-01,Florida East Coast Railway,truss bridge
ponte della Costituzione,2008-09-11,Venice,Bridges in Venice
I-35W Mississippi River bridge,1967-11-01,Minnesota Department of Transportation,deck arch bridge
