col0,col1,col2,col3
Haeju,241599,North Korea,city of North Korea
Huichon,168180,North Korea,city of North Korea
Manpo,116760,North Korea,city of North Korea
Pyongsong,236583,North Korea,city of North Korea
Tanchon,345876,North Korea,city of North Korea
Sinpo,152759,North Korea,city of North Korea
Songrim,128831,North Korea,city of North Korea
Sariwon,307764,North Korea,city of North Korea
Munchon,122934,North Korea,city of North Korea
Hyesan,192680,North Korea,city of North Korea
Kanggye,251971,North Korea,city of North Korea
