col0,col1,col2,col3
Korbach,Germany,23631,Stadtarchiv Korbach
Schmalkalden,Germany,19828,Stadt- und Kreisarchiv Schmalkalden
Isny im Allgäu,Germany,13847,Stadtarchiv Isny
Calw,Germany,23491,Stadtarchiv Calw
Aken,Germany,7687,Stadtarchiv Aken
Lauf an der Pegnitz,Germany,26571,Stadtarchiv Lauf
Lohr am Main,Germany,15192,Stadtarchiv Lohr
Rain,Germany,8901,Stadtarchiv Rain
Naila,Germany,7684,Stadtarchiv Naila
Calbe,Germany,8708,Stadtarchiv Calbe
Burgau,Germany,9770,Stadtarchiv Burgau
Neusäß,Germany,22038,Stadtarchiv Neusäß
Haßfurt,Germany,13493,Stadtarchiv Haßfurt
Velburg,Germany,5319,Stadtarchiv Velburg
