col0,col1,col2,col3,col4
2011 Tour du Finistère,road bicycle racing,2010 Tour du Finistère,Jean-Marc Marino,France
2016 Tour du Finistère,road bicycle racing,2015 Tour du Finistère,Maxime Vantomme,France
2018 Tour du Finistère,road bicycle racing,2017 Tour du Finistère,Nicolas Edet,France
2014 Tour du Finistère,road bicycle racing,2013 Tour du Finistère,Yoann Bagot,France
2016 Tour du Finistère,road bicycle racing,2015 Tour du Finistère,Alexandre Geniez,France
2015 Tour du Finistère,road bicycle racing,2014 Tour du Finistère,Alexandre Geniez,France
2017 Tour du Finistère,road bicycle racing,2016 Tour du Finistère,Julien Simon,France
2016 Tour du Finistère,road bicycle racing,2015 Tour du Finistère,Julien Simon,France
2015 Tour du Finistère,road bicycle racing,2014 Tour du Finistère,Julien Simon,France
2014 Tour du Finistère,road bicycle racing,2013 Tour du Finistère,Julien Simon,France
2012 Tour du Finistère,road bicycle racing,2011 Tour du Finistère,Julien Simon,France
2016 Tour du Finistère,road bicycle racing,2015 Tour du Finistère,Baptiste Planckaert,France
2018 Tour du Finistère,road bicycle racing,2017 Tour du Finistère,Romain Bardet,France
2011 Tour du Finistère,road bicycle racing,2010 Tour du Finistère,Nicolas Vogondy,France
