col0,col1,col2,col3,col4
Padmabati,0,0,0,Ilambazar community development block
Fatepur,0,0,0,Farakka community development block
Bhrigurampur,0,0,0,Farakka community development block
Ghasania,0,0,0,Farakka community development block
Arazi Jot Sundar,0,0,0,Farakka community development block
Nejani,0,0,0,Dubrajpur community development block
Chakamulia,0,0,0,Dubrajpur community development block
Ghoratarai,0,0,0,Dubrajpur community development block
Beleturi,0,0,0,Dubrajpur community development block
Chandrapur,0,0,0,Dubrajpur community development block
Birbhadrapur,0,0,0,Dubrajpur community development block
Bazarpur,0,0,0,Dubrajpur community development block
