col0,col1,col2,col3,col4
NGC 4896,Coma Supercluster,195.1281981262245,Guillaume Bigourdan,0.01987
NGC 4876,Coma Supercluster,194.9349208,Guillaume Bigourdan,0.022275
NGC 5008,[T2015] nest 101064,212.7385875,Heinrich Louis d'Arrest,0.03102
NGC 4849,[CHM2007] LDC 926,194.5525667,Heinrich Louis d'Arrest,0.01966
NGC 4926,Coma Supercluster,195.473879,Heinrich Louis d'Arrest,0.02621
NGC 4907,Coma Supercluster,195.2031542,Heinrich Louis d'Arrest,0.01937
NGC 4895,Coma Supercluster,195.074697,Heinrich Louis d'Arrest,0.028326
NGC 4874,Coma Supercluster,194.8987875,Heinrich Louis d'Arrest,0.02391
NGC 4842-2,Coma Supercluster,194.4005556067785,Heinrich Louis d'Arrest,0.02413
NGC 4917,[T2015] nest 101301,195.2315420762549,John Frederick William Herschel,0.02458
NGC 5021,[CHM2007] LDC 948,198.0261613787519,John Frederick William Herschel,0.02816
NGC 4901,[CHM2007] LDC 923,194.9849833,John Frederick William Herschel,0.02883
