col0,col1,col2,col3
Profitis,UTC+02:00,municipal/local community,Greece
"Pigi, Trikala",UTC+02:00,municipal/local community,Greece
Pigadia,UTC+02:00,municipal/local community,Greece
Kassandreia,UTC+02:00,municipal/local community,Greece
Asvestades,UTC+02:00,municipal/local community,Greece
Aegina,UTC+02:00,municipal/local community,Greece
"Souli, Achaia",UTC+02:00,municipal/local community,Greece
Askifou,UTC+02:00,municipal/local community,Greece
"Stavroupoli, Xanthi",UTC+02:00,municipal/local community,Greece
Proti,UTC+02:00,municipal/local community,Greece
Efkarpia,UTC+02:00,municipal/local community,Greece
Pothia,UTC+02:00,municipal/local community,Greece
Stavroupoli,UTC+02:00,municipal/local community,Greece
