col0,col1,col2,col3
1991 Trofeo Alfredo Binda-Comune di Cittiglio,1990 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1990 Trofeo Alfredo Binda-Comune di Cittiglio,1989 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1989 Trofeo Alfredo Binda-Comune di Cittiglio,1988 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1988 Trofeo Alfredo Binda-Comune di Cittiglio,1987 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1987 Trofeo Alfredo Binda-Comune di Cittiglio,1986 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1986 Trofeo Alfredo Binda-Comune di Cittiglio,1985 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1985 Trofeo Alfredo Binda-Comune di Cittiglio,1984 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1984 Trofeo Alfredo Binda-Comune di Cittiglio,1983 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1983 Trofeo Alfredo Binda-Comune di Cittiglio,1982 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1982 Trofeo Alfredo Binda-Comune di Cittiglio,1981 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1981 Trofeo Alfredo Binda-Comune di Cittiglio,1980 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1980 Trofeo Alfredo Binda-Comune di Cittiglio,1979 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1979 Trofeo Alfredo Binda-Comune di Cittiglio,1978 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
1978 Trofeo Alfredo Binda-Comune di Cittiglio,1977 Trofeo Alfredo Binda-Comune di Cittiglio,Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing
