col0,col1,col2,col3
DJM 108,318.212,-18.981916181984285,107.10124531625941
DJM 114,317.896,-21.518301582334384,105.95046824739457
MC79 2-2,296.18,-23.475138923426186,106.61339928787308
HE#1105-2736,143.84,-27.960132390385716,167.437041869943
HE 1443-2523,226.01599999999996,-25.549586500353396,71.82315136670593
CD31 2049,574.78,-31.5668321926871,72.0433873110432
E 1924-6525,163.45799999999997,-65.37972913591149,292.5621854548694
C* 1610,313.472,-61.99047568982713,151.02080772625766
V* TW Vel,31600.0,-55.20231985315209,136.18468294496824
BD04 4135,316.316,-4.413968569901109,247.52809007828884
CF-28 6788,187.116,-29.28706385597017,135.11869204434845
C* 3288,67.456,-0.720026336,187.762932
