col0,col1,col2,col3,col4,col5,col6
Major County,county of Oklahoma,Kingfisher County,Major County,Oklahoma,"National Register of Historic Places listings in Major County, Oklahoma",2481
Noble County,county of Oklahoma,Garfield County,Noble County,Oklahoma,"National Register of Historic Places listings in Noble County, Oklahoma",1923
Ottawa County,county of Oklahoma,Delaware County,Ottawa County,Oklahoma,"National Register of Historic Places listings in Ottawa County, Oklahoma",1255
Pittsburg County,county of Oklahoma,Atoka County,Pittsburg County,Oklahoma,"National Register of Historic Places listings in Pittsburg County, Oklahoma",3569
Beckham County,county of Oklahoma,Collingsworth County,Beckham County,Oklahoma,"National Register of Historic Places listings in Beckham County, Oklahoma",2342
Cherokee County,county of Oklahoma,Adair County,Cherokee County,Oklahoma,"National Register of Historic Places listings in Cherokee County, Oklahoma",2011
Blaine County,county of Oklahoma,Kingfisher County,Blaine County,Oklahoma,"National Register of Historic Places listings in Blaine County, Oklahoma",2432
Bryan County,county of Oklahoma,Grayson County,Bryan County,Oklahoma,"National Register of Historic Places listings in Bryan County, Oklahoma",2443
Caddo County,county of Oklahoma,Comanche County,Caddo County,Oklahoma,"National Register of Historic Places listings in Caddo County, Oklahoma",3342
Craig County,county of Oklahoma,Labette County,Craig County,Oklahoma,"National Register of Historic Places listings in Craig County, Oklahoma",1975
