col0,col1,col2,col3
"Patos de Minas municipal election, 2016 for Councillor",76314,Patos de Minas,municipal election
"Ibirité municipal election, 2016 for Councillor",81967,Ibirité,municipal election
"Ituiutaba municipal election, 2016 for Councillor",57231,Ituiutaba,municipal election
"Teófilo Otoni municipal election, 2016 for Councillor",69103,Teófilo Otoni,municipal election
"Varginha municipal election, 2016 for Councillor",73313,Varginha,municipal election
"Lavras municipal election, 2016 for Councillor",50777,Lavras,municipal election
"Passos municipal election, 2016 for Councillor",57109,Passos,municipal election
"Conselheiro Lafaiete municipal election, 2016 for Councillor",65946,Conselheiro Lafaiete,municipal election
"Ubá municipal election, 2016 for Councillor",50294,Ubá,municipal election
"Pouso Alegre municipal election, 2016 for Councillor",72066,Pouso Alegre,municipal election
"Santa Luzia municipal election, 2016 for Councillor",108392,"Santa Luzia, Minas Gerais",municipal election
"Vespasiano municipal election, 2016 for Councillor",58265,Vespasiano,municipal election
