col0,col1,col2,col3
Polyptych Hulin de Loo,1463-01-01,The Presentation in the Temple,Birmingham Museums Trust
Retaule de Vallmoll,1450-01-01,Madonna with child,Department of Paintings of the Louvre
Polyptych Hulin de Loo,1463-01-01,The Presentation in the Temple,Burrell Collection
Retaule de Vallmoll,1450-01-01,Madonna with child,Museu Nacional d'Art de Catalunya
Seven Sorrows of Mary,1509-01-01,The Rest on the Flight into Egypt,Worcester Art Museum
A Bigger Grand Canyon,1998-01-01,A Bigger Grand Canyon (panel 1),National Gallery of Australia
Retaule de Vallmoll,1450-01-01,Madonna with child,Museo Diocesano de Tarragona
Polyptych Hulin de Loo,1463-01-01,The Presentation in the Temple,National Gallery of Art
Seven Sorrows of Mary,1509-01-01,The Rest on the Flight into Egypt,National Museum of Ancient Art
Polyptych of the Paradise Convent,1527-01-01,Visitation,National Museum of Ancient Art
Saint John the Evangelist: Altarpiece Pinnacle,1450-01-01,The Virgin: Altarpiece Pinnacle (left),National Gallery
The San Pier Maggiore Altarpiece,1370-01-01,"Seraphim, Cherubim and Adoring Angels",National Gallery
Saint John the Evangelist: Altarpiece Pinnacle,1450-01-01,Saint John the Evangelist: Altarpiece Pinnacle (right),National Gallery
The San Pier Maggiore Altarpiece,1370-01-01,Saint Peter Released from Prison,National Gallery
Polyptych Hulin de Loo,1463-01-01,The Presentation in the Temple,Museo del Prado
