col0,col1,col2,col3
"Markt 6, Oirschot",Netherlands,Rijksmonument,neck gable building
"Woldpromenade 41, Steenwijk",Netherlands,Rijksmonument,house
"Veemarktstraat 19, Breda",Netherlands,Rijksmonument,neck gable building
"Voorstraat 483, Dordrecht",Netherlands,Rijksmonument,neck gable building
De Rozijnkorf,Netherlands,Rijksmonument,neck gable building
"Oude Singel 190, Leiden",Netherlands,Rijksmonument,neck gable building
"Nieuwsteeg 19, Leiden",Netherlands,Rijksmonument,neck gable building
"Langebrug 85, Leiden",Netherlands,Rijksmonument,neck gable building
"Korte Mare 28, Leiden",Netherlands,Rijksmonument,neck gable building
"Breed 12, Hoorn",Netherlands,Rijksmonument,neck gable building
"Egelantiersgracht 201, Amsterdam",Netherlands,Rijksmonument,neck gable building
"Veemarktstraat 19, Breda",Netherlands,Rijksmonument,house
