col0,col1,col2,col3
D33 J013352.1+303636.5,17.79,Triangulum Galaxy,Triangulum
LGGS J013327.81+302106.0,17.82,Triangulum Galaxy,Triangulum
LGGS J013254.37+303050.6,17.65,Triangulum Galaxy,Triangulum
LGGS J013244.40+301547.7,16.49,Triangulum Galaxy,Triangulum
LGGS J013356.45+304335.7,17.86,Triangulum Galaxy,Triangulum
LGGS J013414.17+303802.6,17.85,Triangulum Galaxy,Triangulum
[HS80] B182,17.94,Triangulum Galaxy,Triangulum
LGGS J013308.95+302956.2,17.523,Triangulum Galaxy,Triangulum
LGGS J013439.73+304406.6,17.3,Triangulum Galaxy,Triangulum
LGGS J013415.19+303704.0,17.6,Triangulum Galaxy,Triangulum
[HS80] 17B,16.85,Triangulum Galaxy,Triangulum
LGGS J013330.99+303652.5,18.04,Triangulum Galaxy,Triangulum
[HS80] 117A,16.44,Triangulum Galaxy,Triangulum
LGGS J013341.80+302110.7,18.3,Triangulum Galaxy,Triangulum
