col0,col1,col2,col3,col4,col5
1984 Coppa Ugo Agostoni,road bicycle racing,1984-08-14,Coppa Ugo Agostoni,1985 Coppa Ugo Agostoni,Italy
1983 Coppa Ugo Agostoni,road bicycle racing,1983-08-27,Coppa Ugo Agostoni,1984 Coppa Ugo Agostoni,Italy
1982 Coppa Ugo Agostoni,road bicycle racing,1982-08-29,Coppa Ugo Agostoni,1983 Coppa Ugo Agostoni,Italy
1981 Coppa Ugo Agostoni,road bicycle racing,1981-08-23,Coppa Ugo Agostoni,1982 Coppa Ugo Agostoni,Italy
1980 Coppa Ugo Agostoni,road bicycle racing,1980-08-23,Coppa Ugo Agostoni,1981 Coppa Ugo Agostoni,Italy
1979 Coppa Ugo Agostoni,road bicycle racing,1979-08-21,Coppa Ugo Agostoni,1980 Coppa Ugo Agostoni,Italy
1978 Coppa Ugo Agostoni,road bicycle racing,1978-08-21,Coppa Ugo Agostoni,1979 Coppa Ugo Agostoni,Italy
1977 Coppa Ugo Agostoni,road bicycle racing,1977-08-25,Coppa Ugo Agostoni,1978 Coppa Ugo Agostoni,Italy
1976 Coppa Ugo Agostoni,road bicycle racing,1976-10-06,Coppa Ugo Agostoni,1977 Coppa Ugo Agostoni,Italy
1975 Coppa Ugo Agostoni,road bicycle racing,1975-10-08,Coppa Ugo Agostoni,1976 Coppa Ugo Agostoni,Italy
1974 Coppa Ugo Agostoni,road bicycle racing,1974-10-09,Coppa Ugo Agostoni,1975 Coppa Ugo Agostoni,Italy
1973 Coppa Ugo Agostoni,road bicycle racing,1973-08-28,Coppa Ugo Agostoni,1974 Coppa Ugo Agostoni,Italy
