col0,col1,col2,col3
Egg-shaped vase with tapered and tiered foot,Royal Museums of Art and History,Belgium,vase
Pear-shaped vase,Keramis Centre De La Céramique,Belgium,vase
Egg-shaped vase,Keramis Centre De La Céramique,Belgium,vase
Ornamental plate,Royal Museums of Art and History,Belgium,vase
Umbrella and cane stand,Royal Museums of Art and History,Belgium,vase
Cylindrical bowl,Keramis Centre De La Céramique,Belgium,vase
Dodecahedral vase,Keramis Centre De La Céramique,Belgium,vase
Octagonal flower holder,Keramis Centre De La Céramique,Belgium,vase
Octagonal vase,Keramis Centre De La Céramique,Belgium,vase
Spherical vase with raised mouth,Royal Museums of Art and History,Belgium,vase
Egg-shaped vase with short wide neck,Keramis Centre De La Céramique,Belgium,vase
Spherical vase with raised mouth,Keramis Centre De La Céramique,Belgium,vase
Egg-shaped vase with funnel-shaped neck,Keramis Centre De La Céramique,Belgium,vase
