col0,col1,col2,col3
Kříž u kostela,Czech Republic,cultural monument of the Czech Republic,crucifix
Devět křížů,Czech Republic,cultural monument of the Czech Republic,crucifix
Crucifix,Czech Republic,cultural monument of the Czech Republic,wayside cross
Wayside cross near Lechovice Castle,Czech Republic,cultural monument of the Czech Republic,wayside cross
Krucifix,Czech Republic,cultural monument of the Czech Republic,wayside cross
Krucifix,Czech Republic,cultural monument of the Czech Republic,wayside cross
Crucifix,Czech Republic,cultural monument of the Czech Republic,crucifix
Wayside cross near Lechovice Castle,Czech Republic,cultural monument of the Czech Republic,crucifix
Krucifix,Czech Republic,cultural monument of the Czech Republic,crucifix
Krucifix,Czech Republic,cultural monument of the Czech Republic,crucifix
Wayside cross,Czech Republic,cultural monument of the Czech Republic,wayside cross
Crucifix,Czech Republic,cultural monument of the Czech Republic,wayside cross
