col0,col1,col2,col3
1977 Klasika Primavera,road bicycle racing,Spain,1976 Klasika Primavera
1976 Klasika Primavera,road bicycle racing,Spain,1975 Klasika Primavera
1975 Klasika Primavera,road bicycle racing,Spain,1974 Klasika Primavera
1974 Klasika Primavera,road bicycle racing,Spain,1973 Klasika Primavera
1973 Klasika Primavera,road bicycle racing,Spain,1972 Klasika Primavera
1972 Klasika Primavera,road bicycle racing,Spain,1971 Klasika Primavera
1971 Klasika Primavera,road bicycle racing,Spain,1970 Klasika Primavera
1970 Klasika Primavera,road bicycle racing,Spain,1969 Klasika Primavera
1969 Klasika Primavera,road bicycle racing,Spain,1968 Klasika Primavera
1968 Klasika Primavera,road bicycle racing,Spain,1967 Klasika Primavera
1967 Klasika Primavera,road bicycle racing,Spain,1966 Klasika Primavera
1966 Klasika Primavera,road bicycle racing,Spain,1965 Klasika Primavera
1965 Klasika Primavera,road bicycle racing,Spain,1964 Klasika Primavera
1964 Klasika Primavera,road bicycle racing,Spain,1963 Klasika Primavera
