col0,col1,col2,col3
Ufsebotnen Cirque,Antarctica,cirque,Antarctic Treaty area
The Quadrangle,Antarctica,cirque,Antarctic Treaty area
Sætet,Antarctica,cirque,Antarctic Treaty area
Svelget,Antarctica,cirque,Antarctic Treaty area
Svarthornbotnen Cirque,Antarctica,cirque,Antarctic Treaty area
Storkvammen Cirque,Antarctica,cirque,Antarctic Treaty area
Storkvaeven Cirque,Antarctica,cirque,Antarctic Treaty area
Steinbotnen Cirque,Antarctica,cirque,Antarctic Treaty area
Småkovane Cirques,Antarctica,cirque,Antarctic Treaty area
Slabotnen Cirque,Antarctica,cirque,Antarctic Treaty area
