col0,col1,col2,col3
Cathedral State Park,West Virginia,West Virginia state park,United States of America
Cass Scenic Railroad State Park,Pocahontas County,West Virginia state park,United States of America
Carnifex Ferry Battlefield State Park,Nicholas County,West Virginia state park,United States of America
Camp Creek State Park,West Virginia,West Virginia state park,United States of America
Cacapon Resort State Park,West Virginia,West Virginia state park,United States of America
Bluestone State Park,West Virginia,West Virginia state park,United States of America
Berkeley Springs State Park,West Virginia,West Virginia state park,United States of America
Beech Fork State Park,West Virginia,West Virginia state park,United States of America
Beartown State Park,West Virginia,West Virginia state park,United States of America
Babcock State Park,West Virginia,West Virginia state park,United States of America
