col0,col1,col2,col3,col4
Pekanbaru,Riau,Kampar,855221,Indonesia
Padang,West Sumatra,Padang Pariaman,914970,Indonesia
Bukittinggi,Indonesia,Agam,113326,Indonesia
Gunungsitoli,Nias,Nias Utara,137104,Indonesia
Binjai,Langkat,Deli Serdang,269053,Indonesia
Medan,North Sumatra,Deli Serdang,2210625,Indonesia
Banda Aceh,Aceh,Aceh Besar,235305,Indonesia
Jayapura,Papua,Jayapura,413283,Indonesia
Baubau,Buton,Buton,152143,Indonesia
Singkawang,Sambas,Sambas,230376,Indonesia
Malang,Singasari,Malang,780000,Indonesia
