col0,col1,col2,col3
Portrait of Franz Schubert.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Pëtr Il'ič Čajkovskij.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Costantino Palumbo.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Ferdinand Hiller.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Johann Ludwig Adam.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Giovanni Battista Pergolesi.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Julius Epstein.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Alfredo Catalani.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Johann Strauss.,work of art,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Ercole Bottrigari.,portrait,"Palazzo Giustinian Lolin, Venice",public domain
Portrait of Françoise-Auguste Gevaert.,portrait,"Palazzo Giustinian Lolin, Venice",public domain
