col0,col1,col2,col3,col4,col5
canton of Saint-Pons-de-Thomières,Verreries-de-Moussans,canton of France (until 2015),34545,France,arrondissement of Béziers
canton of Thury-Harcourt,Saint-Rémy,canton of France (until 2015),24197,France,arrondissement of Caen
canton of Nuits-Saint-Georges,Vougeot,canton of France,20761,France,arrondissement of Beaune
canton of Arnay-le-Duc,Voudenay,canton of France,18841,France,arrondissement of Beaune
canton of Nuits-Saint-Georges,Vougeot,canton of France (until 2015),20761,France,arrondissement of Beaune
canton of Arnay-le-Duc,Voudenay,canton of France (until 2015),18841,France,arrondissement of Beaune
canton of Vic-sur-Aisne,Nouvron-Vingré,canton of France,21356,France,arrondissement of Laon
canton of Pessac-2,Pessac,canton of France,57202,France,arrondissement of Bordeaux
canton of Saint-Médard-en-Jalles,Saint-Médard-en-Jalles,canton of France,48603,France,arrondissement of Bordeaux
canton of Talence,Talence,canton of France,49350,France,arrondissement of Bordeaux
canton of Lormont,Lormont,canton of France,45479,France,arrondissement of Bordeaux
canton of Mérignac-1,Mérignac,canton of France,48880,France,arrondissement of Bordeaux
