col0,col1,col2,col3
internet entrepreneur,internet entrepreneur,profession,dot-com company
figure skating coach,figure skating coach,profession,sports training
artistic roller skater,artistic roller skater,profession,artistic roller skating
radio actor,radio actor,profession,audio drama
technician,technician,profession,technique
tradesperson,tradesman,profession,skilled trade
data operator,data operator,profession,figure skating
assistant technical specialist,assistant technical specialist,profession,figure skating
figure skating coach,figure skating coach,profession,figure skating
technical specialist,technical specialist,profession,figure skating
technical controller,technical controller,profession,figure skating
