col0,col1,col2,col3
Sabagebu!,manga series,high school student,Japanese
Tona-Gura!,manga series,high school student,Japanese
Tomehane! Suzuri Kōkō Shodōbu,manga series,high school student,Japanese
"Stella Women’s Academy, High School Division Class C³",manga series,high school student,Japanese
The Burning Wild Man,manga series,high school student,Japanese
Taro the Space Alien,manga series,elementary school student,Japanese
Sugarless,manga series,high school student,Japanese
Play Ball,manga series,sport,Japanese
Ninpen Manmaru,manga series,children's anime and manga,Japanese
Musashi no Ken,manga series,sport,Japanese
Monkey Turn,manga series,sport,Japanese
Midori no Makibaō,manga series,children's anime and manga,Japanese
Legendary Gambler Tetsuya,manga series,sport,Japanese
Keshikasu-kun,manga series,children's anime and manga,Japanese
Captain,manga series,sport,Japanese
