col0,col1,col2,col3
Los Alas Chapel,monument,Gothic architecture,Avilés
Chapel-burial-vault of Svyatopolk-Mirsky family,Eastern Orthodox church,Empire style,Mir
"Church of the Corpus Christi, Bahuševičy",sepulchral chapel,Gothic Revival architecture,Bahushevichy
Louis-Joseph-Papineau Funeral Chapel,sepulchral chapel,Gothic Revival architecture,Montebello
Chapel-burial-vault of Svyatopolk-Mirsky family,sepulchral chapel,Empire style,Mir
Paskevich burial chapel,sepulchral chapel,Russian Revival architecture,Gomel
Mausolée des Évêques-de-Trois-Rivières,sepulchral chapel,expressionist architecture,Trois-Rivières
Los Alas Chapel,sepulchral chapel,Gothic architecture,Avilés
Chapelle royale de Dreux,sepulchral chapel,Gothic Revival architecture,Dreux
"Church of the Corpus Christi, Bahuševičy",Catholic church,Gothic Revival architecture,Bahushevichy
Chapel-burial-vault of Svyatopolk-Mirsky family,tomb,Empire style,Mir
