col0,col1,col2,col3
Baie Lazare,Seychelles,district of Seychelles,Seychelles
Takamaka,Seychelles,district of Seychelles,Seychelles
Les Mamelles,Seychelles,district of Seychelles,Seychelles
Saint Louis,Seychelles,district of Seychelles,Seychelles
Plaisance,Seychelles,district of Seychelles,Seychelles
Mont Fleuri,Seychelles,district of Seychelles,Seychelles
Cascade,Seychelles,district of Seychelles,Seychelles
La Rivière Anglaise,Seychelles,district of Seychelles,Seychelles
Port Glaud,Seychelles,district of Seychelles,Seychelles
Grand'Anse Praslin,Seychelles,district of Seychelles,Seychelles
