col0,col1,col2,col3,col4,col5
Second Epistle to Timothy,literary work,epistle,Paul,2 Timothy 2,New Testament
First Epistle to Timothy,literary work,epistle,Paul,1 Timothy 5,New Testament
Epistle to Titus,religious text,epistle,Paul,Titus 2,New Testament
Second Epistle to Timothy,religious text,epistle,Paul,2 Timothy 2,New Testament
First Epistle to Timothy,religious text,epistle,Paul,1 Timothy 5,New Testament
Second Epistle to Timothy,epistle,epistle,Paul,2 Timothy 2,New Testament
First Epistle to Timothy,epistle,epistle,Paul,1 Timothy 5,New Testament
Epistle to Titus,epistle,epistle,Paul,Titus 2,New Testament
First Epistle to Timothy,epistle,epistle,Paul,1 Timothy 1,New Testament
Second Epistle of Peter,epistle,epistle,Peter,2 Peter 3,General epistles
