col0,col1,col2,col3
Day 9 Tale 1 of the Decameron,"Novel 9, 1",Filomena,Giovanni Boccaccio
Day 8 Tale 6 of the Decameron,"Novel 8, 6",Filomena,Giovanni Boccaccio
Day 7 Tale 7 of the Decameron,"Novel 7, 7",Filomena,Giovanni Boccaccio
Day 10 Tale 1 of the Decameron,"Novel 10, 1",Neifile,Giovanni Boccaccio
Day 9 Tale 4 of the Decameron,"Novel 9, 4",Neifile,Giovanni Boccaccio
Day 8 Tale 1 of the Decameron,"Novel 8, 1",Neifile,Giovanni Boccaccio
Day 7 Tale 8 of the Decameron,"Novel 7, 8",Neifile,Giovanni Boccaccio
Day 10 Tale 9 of the Decameron,"Novel 10, 9",Panfilo,Giovanni Boccaccio
Day 9 Tale 6 of the Decameron,"Novel 9, 6",Panfilo,Giovanni Boccaccio
Day 8 Tale 2 of the Decameron,"Novel 8, 2",Panfilo,Giovanni Boccaccio
Day 7 Tale 9 of the Decameron,"Novel 7, 9",Panfilo,Giovanni Boccaccio
Day 10 Tale 7 of the Decameron,"Novel 10, 7",Pampinea,Giovanni Boccaccio
Day 9 Tale 7 of the Decameron,"Novel 9, 7",Pampinea,Giovanni Boccaccio
Day 8 Tale 7 of the Decameron,"Novel 8, 7",Pampinea,Giovanni Boccaccio
Day 10 Tale 6 of the Decameron,"Novel 10, 6",Fiammetta,Giovanni Boccaccio
