col0,col1,col2,col3
Wilkins Sound,Antarctic Treaty area,Antarctica,sound
Wilkins Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Sulzberger Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Vigridisen,Antarctic Treaty area,Antarctica,ice shelf
Filchner Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Nivlisen,Queen Maud Land,Antarctica,ice shelf
Zubchatyy Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Wyers Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Wordie Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
Venable Ice Shelf,Antarctic Treaty area,Antarctica,ice shelf
