col0,col1,col2,col3
Mogo-San,"White Belt, Black Heart",Teenage Mutant Ninja Turtles universe,male
Crooker,"White Belt, Black Heart",Teenage Mutant Ninja Turtles universe,male
Mogo Yoku,"White Belt, Black Heart",Teenage Mutant Ninja Turtles universe,male
Oroku Sancho,The Legend of Koji,Teenage Mutant Ninja Turtles universe,male
Hamato Koji,The Legend of Koji,Teenage Mutant Ninja Turtles universe,male
Koro,The Legend of Koji,Teenage Mutant Ninja Turtles universe,male
Wolf Jackson,Night of the Dark Turtle,Teenage Mutant Ninja Turtles universe,male
Bugman,Michelangelo Meets Bugman,Teenage Mutant Ninja Turtles universe,male
Electrozapper,Michelangelo Meets Bugman,Teenage Mutant Ninja Turtles universe,male
Lloyd Cycloid,Donatello Makes Time,Teenage Mutant Ninja Turtles universe,male
Octavius Ogilvy,Corporate Raiders from Dimension X,Teenage Mutant Ninja Turtles universe,male
Chumley,Super Irma,Teenage Mutant Ninja Turtles universe,male
Zifflin,Attack of the 50-Foot Irma,Teenage Mutant Ninja Turtles universe,male
Fischbein,The Great Boldini,Teenage Mutant Ninja Turtles universe,male
