col0,col1,col2,col3,col4
Serhetabat District,Turkmenistan,Mary Region,district of Turkmenistan,UTC+05:00
Saparmyrat Nyýazow District,Turkmenistan,Daşoguz Region,district of Turkmenistan,UTC+05:00
Gurbansoltan Eje District,Turkmenistan,Daşoguz Region,district of Turkmenistan,UTC+05:00
Beýik Türkmenbaşy District,Turkmenistan,Lebap Region,district of Turkmenistan,UTC+05:00
Esenguly District,Turkmenistan,Balkan Region,district of Turkmenistan,UTC+05:00
Hojambaz District,Turkmenistan,Lebap Region,district of Turkmenistan,UTC+05:00
Halaç District,Turkmenistan,Lebap Region,district of Turkmenistan,UTC+05:00
Farap District,Turkmenistan,Lebap Region,district of Turkmenistan,UTC+05:00
Türkmengala District,Turkmenistan,Mary Region,district of Turkmenistan,UTC+05:00
Türkmenbaşy District,Turkmenistan,Balkan Region,district of Turkmenistan,UTC+05:00
