col0,col1,col2,col3,col4
Parma–Suzzara railway,Ferrovie Emilia Romagna,1883-01-01,TPER,Suzzara
Suzzara–Ferrara railway,Ferrovie Emilia Romagna,1888-01-01,Trenitalia Tper,Ferrara
Ferrara–Codigoro railway,Ferrovie Emilia Romagna,1931-01-01,Trenitalia Tper,Ferrara
Suzzara–Ferrara railway,Ferrovie Emilia Romagna,1888-01-01,TPER,Ferrara
Ferrara–Codigoro railway,Ferrovie Emilia Romagna,1931-01-01,TPER,Ferrara
Reggio Emilia–Guastalla railway,Ferrovie Emilia Romagna,1886-01-01,Trenitalia Tper,Reggio nell’Emilia
Reggio Emilia–Sassuolo railway,Ferrovie Emilia Romagna,1883-01-01,Trenitalia Tper,Reggio nell’Emilia
Reggio Emilia–Ciano d’Enza railway,Ferrovie Emilia Romagna,1909-01-01,Trenitalia Tper,Reggio nell’Emilia
Reggio Emilia–Guastalla railway,Ferrovie Emilia Romagna,1886-01-01,TPER,Reggio nell’Emilia
Reggio Emilia–Sassuolo railway,Ferrovie Emilia Romagna,1883-01-01,TPER,Reggio nell’Emilia
Reggio Emilia–Ciano d’Enza railway,Ferrovie Emilia Romagna,1909-01-01,TPER,Reggio nell’Emilia
Piacenza–Cremona railway,Rete Ferroviaria Italiana,1933-01-01,Trenitalia,Piacenza
