col0,col1,col2,col3
2014 Paris–Nice,2014-03-09,Romain Bardet,2014-03-16
2013 Paris–Nice,2013-03-03,Dominik Nerz,2013-03-10
2012 Paris–Nice,2012-03-04,Dominik Nerz,2012-03-11
2013 Paris–Nice,2013-03-03,Tony Gallopin,2013-03-10
2010 Paris–Nice,2010-03-07,Simon Geschke,2010-03-14
2005 Paris–Nice,2005-03-06,José Ángel Gómez Marchante,2005-03-13
2009 Paris–Nice,2009-03-08,Jonathan Hivert,2009-03-15
2010 Paris–Nice,2010-03-07,Jérôme Coppel,2010-03-14
2012 Paris–Nice,2012-03-04,Davide Malacarne,2012-03-11
2011 Paris–Nice,2011-03-06,Arnold Jeannesson,2011-03-13
