col0,col1,col2,col3
Balassagyarmat District,Balassagyarmat,Template:Balassagyarmat District,39829
Balatonalmádi  District,Balatonalmádi,Template:Balatonalmádi District,24479
Baktalórántháza  District,Baktalórántháza,Template:Baktalórántháza District,19521
Ajka  District,Ajka,Template:Ajka District,39154
Sárvár  District,Sárvár,Template:Sárvár District,38862
Ózd  District,Ózd,Template:Ózd District,52732
Tapolca  District,Tapolca,Template:Tapolca District,34689
Szentgotthárd  District,Szentgotthárd,Template:Szentgotthárd District,15180
Salgótarján District,Salgótarján,Template:Salgótarján District,64504
Rétság District,Rétság,Template:Rétság District,23798
Pétervására District,Pétervására,Template:Pétervására District,20702
