col0,col1,col2,col3
United Nations Security Council Resolution 1921,2010-05-12,United Nations Security Council resolution,United Nations Security Council Resolution 1922
United Nations Security Council Resolution 1524,2004-01-30,United Nations Security Council resolution,United Nations Security Council Resolution 1525
United Nations Security Council Resolution 1217,1998-12-22,United Nations Security Council resolution,United Nations Security Council Resolution 1218
United Nations Security Council Resolution 1330,2000-12-05,United Nations Security Council resolution,United Nations Security Council Resolution 1331
United Nations Security Council Resolution 935,1994-07-01,United Nations Security Council resolution,United Nations Security Council Resolution 936
United Nations Security Council Resolution 780,1992-10-06,United Nations Security Council resolution,United Nations Security Council Resolution 781
United Nations Security Council Resolution 517,1982-08-04,United Nations Security Council resolution,United Nations Security Council Resolution 518
United Nations Security Council Resolution 1809,2008-04-16,United Nations Security Council resolution,United Nations Security Council Resolution 1810
United Nations Security Council Resolution 1410,2002-05-17,United Nations Security Council resolution,United Nations Security Council Resolution 1411
United Nations Security Council Resolution 2039,2012-02-29,United Nations Security Council resolution,United Nations Security Council Resolution 2040
United Nations Security Council Resolution 1155,1998-03-16,United Nations Security Council resolution,United Nations Security Council Resolution 1156
United Nations Security Council Resolution 1891,2009-10-13,United Nations Security Council resolution,United Nations Security Council Resolution 1892
United Nations Security Council Resolution 789,1992-11-25,United Nations Security Council resolution,United Nations Security Council Resolution 790
