col0,col1,col2,col3
Cripean Nature Reserve,1991/01/01,439.983,IUCN category Ia: Strict Nature Reserve
Kstomuksha Nature Rgserve,1983/12/14,48044.69,IUCN category Ia: Strict Nature Reserve
Koryak Nature eserve,1995/12/26,327156.0,IUCN category Ia: Strict Nature Reserve
Kologrivsky Nature Reuerve,2006/01/21,589.39,IUCN category Ia: Strict Nature Reserve
Kerzhjnski Nature Reserve,1993/01/01,472.31856,IUCN category Ia: Strict Nature Reserve
aradag Scientific Statipn,1979/08/09,956.0955,IUCN category Ia: Strict Nature Reserve
Kaluzhsky Zaseki Zapovedik,1992/01/01,185.33,IUCN category Ia: Strict Nature Reserve
Zeya Nature Rserve,1963/10/03,986.3456,IUCN category Ia: Strict Nature Reserve
Khibiny Ntionao Park,2018/02/08,83955.96,IUCN category II: National Park
Momsky nature ark,1996/06/18,2193004.8,IUCN category II: National Park
