col0,col1,col2,col3
Salonikiou,Blue Flag beach,tourist destination,Greece
Kalogrias Sithonias,Blue Flag beach,tourist destination,Greece
Glyfada A Attiki,Blue Flag beach,tourist destination,Greece
Glyfada B Attiki,Blue Flag beach,tourist destination,Greece
Anissaras-Mitsis Laguna,Blue Flag beach,tourist destination,Greece
Kokkini Chani-Rinela,Blue Flag beach,tourist destination,Greece
Paliouri Kanistro,Blue Flag beach,tourist destination,Greece
Alykes Chalkidiki,Blue Flag beach,tourist destination,Greece
Charamida,Blue Flag beach,tourist destination,Greece
Klontzani,Blue Flag beach,tourist destination,Greece
Almyros Magnisia,Blue Flag beach,tourist destination,Greece
Ammoudia,Blue Flag beach,tourist destination,Greece
Gialiskari,Blue Flag beach,tourist destination,Greece
