col0,col1,col2,col3
"Rothiemurchus, The Doune Farm Cottages",Highland,cottage,Cairngorms National Park
"Aultmore House, Osprey Cottage",Highland,cottage,Cairngorms National Park
"Aultmore House, Kestrel Cottage",Highland,cottage,Cairngorms National Park
"Balmoral Castle, Garden Cottage",Aberdeenshire,cottage,Cairngorms National Park
"Invercauld Policies, Balnagower Cottage",Aberdeenshire,cottage,Cairngorms National Park
"Auchtavan, Queen Mother's Cottage",Aberdeenshire,cottage,Cairngorms National Park
"Royal Lochnagar Distillery, Cottage",Aberdeenshire,cottage,Cairngorms National Park
"Royal Lochnagar Distillery, West Cottage",Aberdeenshire,cottage,Cairngorms National Park
Alltdourie Cottage,Aberdeenshire,cottage,Cairngorms National Park
"Allalogie, Cottage",Aberdeenshire,cottage,Cairngorms National Park
Cottage at Auchtavan,Aberdeenshire,cottage,Cairngorms National Park
"Loch Earn, Dalveich, Cottage",Stirling,cottage,Loch Lomond and The Trossachs National Park
"Lochearnhead, Brier Cottage",Stirling,cottage,Loch Lomond and The Trossachs National Park
