col0,col1,col2,col3
Zaruddia,"Comuna Zaruddea, Romnî",UTC+02:00,Ukraine
Derzhanivka,Derzhanivka volost,UTC+02:00,Ukraine
Kalyniv,Kalinivsky rural council,UTC+03:00,Ukraine
Irkliyiv,Irklijev Regiment,UTC+03:00,Ukraine
Kalyniv,Kalinivsky rural council,UTC+02:00,Ukraine
Irkliyiv,Irklijev Regiment,UTC+02:00,Ukraine
Ivanivka,Ivanivka Hromada,UTC+03:00,Ukraine
Ivane-Puste,Ivane-Puste Rural council,UTC+03:00,Ukraine
Ivanivka,Ivanivka Hromada,UTC+02:00,Ukraine
Ivane-Puste,Ivane-Puste Rural council,UTC+02:00,Ukraine
Zhnyborody,Zhnyborody rural council,UTC+02:00,Ukraine
Dorohychivka,Dorohychivka Hromada,UTC+03:00,Ukraine
Dolynske,Dolynske Council,UTC+03:00,Ukraine
