col0,col1,col2,col3
Route nationale 490,route nationale,Lapalisse,France
Route nationale 849,route nationale,Vico,France
Route nationale 87,route nationale,Échirolles,France
Route nationale 492,route nationale,Salins-les-Bains,France
Route nationale 617,route nationale,Canet-en-Roussillon,France
Route nationale 612,route nationale,Estagel,France
Route nationale 484,route nationale,Morey,France
Route nationale 147,route nationale,Saumur,France
Route nationale 67a,route nationale,Rimaucourt,France
Route nationale 216,route nationale,Calais,France
Route nationale 90a,route nationale,La Buissière,France
Route nationale 88bis,route nationale,Le Puy-en-Velay,France
Route nationale 85,route nationale,Cannes,France
