col0,col1,col2,col3
Polling station no 880,polling place,Burilčevo,North Macedonia
Polling station no 88,polling place,Bitola,North Macedonia
Polling station no 876,polling place,Češinovo,North Macedonia
Polling station no 875,polling place,Češinovo,North Macedonia
Polling station no 873,polling place,Rajčani,North Macedonia
Polling station no 872,polling place,Polaki,North Macedonia
Polling station no 87,polling place,Bitola,North Macedonia
Polling station no 867,polling place,Beli,North Macedonia
Polling station no 866,polling place,Mojanci,North Macedonia
Polling station no 864,polling place,Grdovci,North Macedonia
Polling station no 863,polling place,Grdovci,North Macedonia
Polling station no 861,polling place,Kočani,North Macedonia
Polling station no 860,polling place,Kočani,North Macedonia
