col0,col1,col2,col3,col4
Maijankorpi,Finland,Kokkola,Bronze Age,stone grave
Kalliojärvenkalliot 1-2,Finland,Kokkola,Bronze Age,stone grave
Köönikänmäki,Finland,Kokemäki,Iron Age,stone grave
Kylä-Vehkan Metsäpalsta,Finland,Kokemäki,Bronze Age,stone grave
Perävainionmäki,Finland,Kokemäki,Bronze Age,stone grave
Linnanluoto,Finland,Kokemäki,Iron Age,stone grave
Riihimäki,Finland,Kokemäki,Iron Age,stone grave
Suviportin kangas,Finland,Kokemäki,Bronze Age,stone grave
Myllymäki,Finland,Kokemäki,Iron Age,stone grave
Yli-Potila,Finland,Kokemäki,Bronze Age,stone grave
Järilä,Finland,Kokemäki,Bronze Age,stone grave
Leikkimäki,Finland,Kokemäki,Iron Age,stone grave
Rövars Övergård,Finland,Kirkkonummi,Bronze Age,stone grave
Nedergård,Finland,Kirkkonummi,Bronze Age,stone grave
