col0,col1,col2,col3,col4
Polvikallio,Finland,Rauma,Bronze Age,stone grave
Uusimaa,Finland,Rauma,Bronze Age,stone grave
Lauri,Finland,Rauma,Bronze Age,stone grave
Matinhaka,Finland,Rauma,Bronze Age,stone grave
Hongisto II,Finland,Rauma,Bronze Age,stone grave
Harju,Finland,Rauma,Bronze Age,stone grave
Kallio I,Finland,Rauma,Bronze Age,stone grave
Kulju,Finland,Rauma,Bronze Age,stone grave
Kailasuon kallio,Finland,Rauma,Bronze Age,pit
Kotovainionmäki,Finland,Eurajoki,Bronze Age,stone grave
Huhtala,Finland,Eurajoki,Bronze Age,stone grave
