col0,col1,col2,col3,col4
Ankargränd,Stockholm Municipality,anchor,Trångsund,Gamla stan
Solgränd,Stockholm Municipality,Sun,Trångsund,Gamla stan
Mårten Trotzigs gränd,Stockholm Municipality,Mårten Trotzig,Prästgatan,Gamla stan
Ankargränd,Stockholm Municipality,anchor,Prästgatan,Gamla stan
Solgränd,Stockholm Municipality,Sun,Prästgatan,Gamla stan
Klockgjutargränd,Stockholm Municipality,bell,Myntgatan,Gamla stan
Stenbastugränd,Stockholm Municipality,sauna,Myntgatan,Gamla stan
Kolmätargränd,Stockholm Municipality,measurement,Myntgatan,Gamla stan
Trädgårdsgatan,Stockholm Municipality,garden,Källargränd,Gamla stan
Kråkgränd,Stockholm Municipality,Kråka,Österlånggatan,Gamla stan
Telegrafgränd,Stockholm Municipality,Stockholm Telegraph Station,Österlånggatan,Gamla stan
Johannesgränd,Stockholm Municipality,Sankt Johanneskyrkan,Österlånggatan,Gamla stan
Norra Bankogränd,Stockholm Municipality,Norra Bankohuset,Österlånggatan,Gamla stan
Tullgränd,Stockholm Municipality,Swedish Customs,Österlånggatan,Gamla stan
Packhusgränd,Stockholm Municipality,warehouse,Österlånggatan,Gamla stan
