col0,col1,col2,col3,col4,col5
Aderbissinat Department,Aderbissinat,Agadez Region,Niger,35320,department of Niger
Iférouane Department,Iférouane,Agadez Region,Niger,32731,department of Niger
Ingall Department,Ingall,Agadez Region,Niger,51903,department of Niger
Bosso Department,Bosso,Diffa Region,Niger,76735,department of Niger
Goudoumaria Department,Goudoumaria,Diffa Region,Niger,100559,department of Niger
N'Gourti Department,N'Gourti,Diffa Region,Niger,51767,department of Niger
Dioundiou Department,Dioundiou,Dosso Region,Niger,109615,department of Niger
Falmey Department,Falmey,Dosso Region,Niger,103271,department of Niger
Tibiri Department,Tibiri,Dosso Region,Niger,270016,department of Niger
Bermo Department,Bermo,Maradi Region,Niger,52274,department of Niger
Gazaoua Department,Gazaoua,Maradi Region,Niger,160536,department of Niger
Bagaroua Department,Bagaroua,Tahoua Region,Niger,72293,department of Niger
