col0,col1,col2,col3
Mawiyah District,129765,63454,district of Yemen
As Sayyani District,110515,54237,district of Yemen
Al Udayn District,143578,68786,district of Yemen
Al Bayda District,40289,19429,district of Yemen
Ain District,22051,11494,district of Yemen
Merkhah Al Ulya District,32278,16633,district of Yemen
Al A'rsh District,45773,23228,district of Yemen
Hatib District,13335,7092,district of Yemen
Na'man District,9252,5014,district of Yemen
Maswarah District,7038,3646,district of Yemen
Dhi Na'im District,25759,12657,district of Yemen
Sabah District,27472,13611,district of Yemen
Ash Sharyah District,33873,17444,district of Yemen
