col0,col1,col2,col3
HD 199714,314.3191211030153,8.31,1.63
HD 196819,309.5715460100028,7.55,1.1699
BD+31 4152,309.18994425199,8.45,1.1611
BD+41 3737,306.1942970060817,9.27,0.9469
HD 182918,291.5471594797235,8.66,3.1675
IRAS 12116-6001,183.5892223021873,9.93,0.1969
HD 57281,109.906244606,8.97,14.12
vdB 91,105.8523253387961,9.76,0.7261
HD 52721,105.456290709,6.59,2.25
HD 52329,105.1192118681024,8.57,1.9686
HD 51479,104.2830394987925,8.43,1.2505
BD-06 1444,92.95332167872,10.9,1.0174
HD 42050,92.1094972402067,8.12,1.0784
HD 252680,92.5069263576032,9.15,0.8491
BD-06 1418,92.0215865802428,9.63,1.0764
