col0,col1,col2,col3
Horseman with shepherdesses by a stream,private collection,genre art,private collection
View of a Village on a Canal,private collection,genre art,private collection
Landscape with Cart descending a Hill,private collection,genre art,private collection
Christ and the centurion of Capernaum,private collection,genre art,private collection
Tobit and Raphael with the Fish near the Rocca of Tivoli,private collection,genre art,private collection
Singers and Drinkers in a Tavern,private collection,genre art,private collection
Gypsies under a Tent near a Ruin,private collection,genre art,private collection
Angelica and Medoro,private collection,genre art,private collection
Shepherd with his Flock,private collection,genre art,private collection
Shepherd with Cattle and Mules,private collection,genre art,private collection
Couple Making Music,private collection,genre art,private collection
A Cavalry Officer with Women at a Washing Place,private collection,genre art,private collection
Titlepage representing painting,private collection,genre art,private collection
