col0,col1,col2,col3,col4
Maejeon-myeon,myeon,Cheongdo County,UTC+09:00,South Korea
Munsan-myeon,myeon,Seocheon County,UTC+09:00,South Korea
Jinbu-myeon,myeon,Pyeongchang County,UTC+09:00,South Korea
Jaesan-myeon,myeon,Bonghwa County,UTC+09:00,South Korea
"Iseo-myeon, Cheongdo",myeon,Cheongdo County,UTC+09:00,South Korea
Geumseong-myeon,myeon,Uiseong County,UTC+09:00,South Korea
Geumcheon-myeon,myeon,Cheongdo County,UTC+09:00,South Korea
Gachang,myeon,Dalseong County,UTC+09:00,South Korea
Dasan-myeon,myeon,Goryeong County,UTC+09:00,South Korea
Daehwa-myeon,myeon,Pyeongchang County,UTC+09:00,South Korea
"Chunyang-myeon, Bonghwa",myeon,Bonghwa County,UTC+09:00,South Korea
Bukpyeong-myeon,myeon,Jeongseon County,UTC+09:00,South Korea
Bugan-myeon,myeon,Yeongcheon,UTC+09:00,South Korea
Bongseong-myeon,myeon,Bonghwa County,UTC+09:00,South Korea
