col0,col1,col2,col3
Lípy popravených vlastenců,Czech Republic,Tilia cordata,tree
Helštýnské lípy,Czech Republic,Tilia cordata,tree
Group of lime trees near Vantiberk,Czech Republic,Tilia cordata,tree
Lípy popravených vlastenců,Czech Republic,remarkable tree,tree
Helštýnské lípy,Czech Republic,remarkable tree,tree
Duby pod táborem,Czech Republic,remarkable tree,tree
Group of lime trees near Vantiberk,Czech Republic,remarkable tree,tree
Duby na hřbitově,Czech Republic,remarkable tree,tree
Skupina deseti dubů letních,Czech Republic,remarkable tree,tree
Group of 2 Quercus robur in Koprník,Czech Republic,remarkable tree,tree
