col0,col1,col2,col3
Tennōji Station,Teradachō Station,Osaka Loop Line,Ōsaka Abenobashi Station
Kagamigawabashi Station,Kamobe Station,Ino Line,Kōchi-Shōgyō-Mae Station
Fahrettin Altay,Üçkuyular,Konak Tram,Fahrettin Altay
La Courneuve - Six Routes (tramway d'Île-de-France),Hôtel de Ville de La Courneuve,Île-de-France tramway Line 1,Hôtel de Ville de La Courneuve
Storo,Disen (tram station),Grünerløkka–Torshov Line,Storo
Canton Tower Station,Canton Tower East station,Haizhu Tram,Canton Tower station
Straßenbahn Haltestelle S Spindlersfeld,Straßenbahn Haltestelle Köllnischer Platz,Tram line 61 (Berlin),Berlin-Spindlersfeld station
Straßenbahn Haltestelle S Pankow-Heinersdorf,Straßenbahn Haltestelle Galenusstraße,Tram line 50 (Berlin),Berlin-Pankow-Heinersdorf station
Asahi-ekimae-dōri Station,Asahimachi-itchōme Station,Ino Line,Asahi Station
Yamashita Station,Matsubara Station,Tōkyū Setagaya Line,Gōtokuji Station
