col0,col1,col2,col3
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 44",1896-05-01,interior design,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 96",1896-10-01,city gate,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 83",1896-09-01,city gate,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 82",1896-09-01,city gate,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 68",1896-07-01,sacred architecture,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 67",1896-07-01,sacred architecture,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 77",1896-08-01,furniture,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 65",1896-07-01,Hamburg City Hall,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 33",1896-04-01,Hamburg City Hall,Blätter für Architektur und Kunsthandwerk
"Blätter für Architektur und Kunsthandwerk, 1896, Tafel 85",1896-09-01,villa,Blätter für Architektur und Kunsthandwerk
