col0,col1,col2,col3
New York shirtwaist strike of 1909,1910-03-01,1909-11-01,strike
Memphis Sanitation Strike,1968-04-16,1968-02-11,strike
International Harvester strike of 1979–1980,1980-04-20,1979-11-01,strike
Ford Strike of 1945,1945-12-19,1945-09-12,strike
Delano grape strike,1970-01-01,1965-09-08,strike
Cape Breton coal strike of 1981,1981-10-01,1981-07-01,strike
Boeing Machinists Strike of 2008,2008-11-01,2008-09-07,strike
Bituminous Coal Strike of 1977–1978,1978-03-19,1977-12-06,strike
Baltimore police strike,1974-07-17,1974-07-11,strike
Baltimore municipal strike of 1974,1974-07-14,1974-06-30,strike
Auto-Lite strike,1934-06-03,1934-04-12,strike
1996–1997 strikes in South Korea,1997-01-01,1996-12-01,strike
1984–85 UK miners' strike,1985-03-03,1984-03-06,industrial action
