col0,col1,col2,col3
Title Unknown,Yves Tanguy,Title Unknown,65.4
Untitled,Scott Olson,Untitled,78.7
just the two of us,Julia Wachtel,just the two of us,198
Mirrors & Eyes,John L. Moore,Mirrors & Eyes,172.70000000000002
Self Portrait,François Lepage,Self Portrait,32.800000000000004
Late Roman Painting: Burnt Green Earth Tint,Marcia Hafif,Late Roman Painting: Burnt Green Earth Tint,56.00000000000001
High Rolling,Monique Prieto,High Rolling,208.2
The Lovers,Bryson Burroughs,The Lovers,91.60000000000001
Woman Sleeping in a Landscape with a Letter,Bernard Gaillot,Woman Sleeping in a Landscape with a Letter,40.6
Blue Bloc,Edwin Mieczkowski,Blue Bloc,121.9
Untitled,Scott Miller,Untitled,118.7
A Paramount Picture,Reginald Marsh,A Paramount Picture,70.5
Rock at Sea,Raymond Jonson,Rock at Sea,104.2
"Moses Seymour, Jr.",Ralph Eleaser Whiteside Earl,"Moses Seymour, Jr.",90.2
Barber Shop,Paul Sample,Barber Shop,101.6
