col0,col1,col2,col3
1953 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1954 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1955 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1956 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1957 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1958 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1959 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1960 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1961 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1962 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1963 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1964 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1965 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1966 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
1967 Filipino Badminton Championships,badminton,Philippines,WikiProject Badminton/tournament focus list
