col0,col1,col2,col3
Ano!Kalamas,Pogoni Municipality,Greece,UTC+02:00
Skillounwa,Andritsaina-Krestena,Greece,UTC+02:00
Krannonas,Kileler Municipality,Greece,UTC+02:00
Oreino,Nestos Municipality,Greece,UTC+02:00
Sellana,Palamas Municipality,Greece,UTC+02:00
Sfakiotes,Lefkada Municipality,Greece,UTC+02:00
Plastiras,Lake Plastiras Municipality,Greece,UTC+02:00
Vardousia,Dorida Municipality,Greece,UTC+02:00
KctoOlympos,Tempi Municipality,Greece,UTC+02:00
Kallieis,Delfi Municipality,Greece,UTC+02:00
Therapnes,Sparta Municipality,Greece,UTC+02:00
Ion Dragomis,Argos Orestiko Municipality,Greece,UTC+02:00
