col0,col1,col2,col3
A'a Trail,A'a Trail,Bonito Lava Flow,North America
Long House Loop Trail,Long House Loop Trail,Wetherill Mesa,North America
Long House Loop,Long House Loop,Wetherill Mesa,North America
White House Trail,White House Trail,Canyon de Chelly,North America
Santa Elena Canyon Trail,Santa Elena Canyon Trail,Santa Elena Canyon,North America
Upper Beaver Meadows Trail,Upper Beaver Meadows Trail,Upper Beaver Meadows,North America
Lava Cast Forest Trail,Lava Cast Forest Trail,Lava Cast Forest,North America
Wild Basin Trail,Wild Basin Trail,"Wild Basin, Rocky Mountain National Park",North America
Coyote Valley Trail,Coyote Valley Trail,Kawuneeche Valley,North America
Woodland Trail,Woodland Trail,Assateague Island,North America
North Pond Wildlife Trail,North Pond Wildlife Trail,Pea Island,North America
Tuolumne Grove Trail,Tuolumne Grove Trail,Tuolumne Grove,North America
Grasslands Nature Trail,Grasslands Nature Trail,Padre Island,North America
