col0,col1,col2,col3
Aliens: Colonial Marines,Dark Horse Comics,limited series,1993-01-01
Aliens: Labyrinth,Dark Horse Comics,limited series,1993-09-01
Aliens: Earth War,Dark Horse Comics,limited series,1990-06-01
Aliens: Music of the Spears,Dark Horse Comics,limited series,1994-01-01
Aliens: Newt's Tale,Dark Horse Comics,limited series,1992-06-01
Aliens: Berserker,Dark Horse Comics,limited series,1995-01-01
Aliens: Havoc,Dark Horse Comics,limited series,1997-06-01
Aliens: Alchemy,Dark Horse Comics,limited series,1997-09-24
Alien Resurrection,Dark Horse Comics,limited series,1997-10-29
Aliens: Kidnapped,Dark Horse Comics,limited series,1997-12-17
Aliens: Survival,Dark Horse Comics,limited series,1998-02-11
Aliens: Apocalypse - The Destroying Angels,Dark Horse Comics,limited series,1999-01-01
Aliens vs. Predator: Xenogenesis,Dark Horse Comics,limited series,1999-01-01
Predator: Xenogenesis,Dark Horse Comics,limited series,1999-01-01
