col0,col1,col2,col3
Acklom,Acklom,Acklom,Latin script
Goldwin,Goldwin,Goldwin,Latin script
Hampden,Hampden,Hampden,Latin script
Guinn,Guinn,Guinn,Latin script
Ellicott,Ellicott,Ellicott,Latin script
Dooley,Dooley,Dooley,Latin script
Tapping,Tapping,Tapping,Latin script
Lawrie,Lawrie,Lawrie,Latin script
Dagge,Dagge,Dagge,Latin script
Caxton,Caxton,Caxton,Latin script
Wardlaw,Wardlaw,Wardlaw,Latin script
Raleigh,Raleigh,Raleigh,Latin script
Syng,Syng,Syng,Latin script
Firminger,Firminger,Firminger,Latin script
